"","lat","tos","tossd","tos_n"
"1",88.7543402777778,0.89108956049359,0.0120414062045405,288
"2",87.5130208333333,0.9935260727292,0.0605141381996088,288
"3",86.2717013888889,0.996586770187188,0.106702011790391,288
"4",85.0303819444444,1.03521510827268,0.168311409720449,288
"5",83.7890625,1.09700685035194,0.245061675081654,288
"6",82.5477430555556,1.18060864973321,0.360974531653638,288
"7",81.3064236111111,1.41728902367688,0.521848094689081,288
"8",80.0651041666667,1.56111418891536,0.732638329631202,252
"9",78.8237847222222,1.736367240306,0.947506376893603,253
"10",77.5824652777778,2.05265301290921,1.14018344153397,254
"11",76.3411458333333,2.25898783505655,1.32272327407576,253
"12",75.0998263888889,2.40357594481019,1.3130111334347,243
"13",73.8585069444444,2.58533339194847,1.2155349194023,241
"14",72.6171875,2.68037772467293,1.17502573434199,236
"15",71.3758680555556,2.86776365068224,1.15242318991307,200
"16",70.1345486111111,3.1494980995407,1.04748462511885,180
"17",68.8932291666667,3.11376025122543,1.21225448561638,146
"18",67.6519097222222,3.00964423974207,1.01530691887528,102
"19",66.4105902777778,3.08133365184718,0.875054830788914,86
"20",65.1692708333333,3.2208647356484,1.19751025766591,87
"21",63.9279513888889,3.05191453825201,1.04351106658698,89
"22",62.6866319444444,2.85524633243468,0.969590739861949,95
"23",61.4453125,2.94007753512778,1.17345429552446,101
"24",60.2039930555556,2.91324187946968,1.16404920799332,112
"25",58.9626736111111,3.12906348099236,1.23400858625985,138
"26",57.7213541666667,3.29812514797294,1.25347804692473,148
"27",56.4800347222222,3.33990203029761,1.28500541335141,151
"28",55.2387152777778,3.25441707715366,1.20648177049821,144
"29",53.9973958333333,3.21613316130794,1.19782145228161,136
"30",52.7560763888889,3.15350662764292,1.11661596603875,125
"31",51.5147569444444,3.11291770036563,0.932537706609217,124
"32",50.2734375,3.22306857801563,0.814409571942108,134
"33",49.0321180555556,3.34649470268165,0.765645985158587,133
"34",47.7907986111111,3.40443849430031,0.753190979665127,136
"35",46.5494791666667,3.63402719547434,0.741356189680784,143
"36",45.3081597222222,3.69866271409698,0.76586269394672,148
"37",44.0668402777778,3.71025091728556,0.753425258078017,162
"38",42.8255208333333,3.65882718802456,0.655208155124347,166
"39",41.5842013888889,3.65017792553445,0.547120612398107,166
"40",40.3428819444444,3.58263856808136,0.552383049065178,163
"41",39.1015625,3.54969104117784,0.548781548963217,171
"42",37.8602430555556,3.4911547060366,0.48587987913817,177
"43",36.6189236111111,3.38820834663627,0.418426918558851,186
"44",35.3776041666667,3.35120945414118,0.360512498508242,180
"45",34.1362847222222,3.31528612915496,0.31093814151079,178
"46",32.8949652777778,3.25954718868162,0.275417127029955,177
"47",31.6536458333333,3.22050153366243,0.236359637080107,176
"48",30.4123263888889,3.17008521554361,0.231045059808247,167
"49",29.1710069444444,3.16870990213006,0.237030801257746,177
"50",27.9296875,3.14970840551257,0.214888650213499,177
"51",26.6883680555556,3.14384648719038,0.218051038294517,183
"52",25.4470486111111,3.14458007056417,0.265116415998118,189
"53",24.2057291666667,3.08876392261061,0.221880568132816,192
"54",22.9644097222222,3.05380463674245,0.180566658466456,189
"55",21.7230902777778,3.02883033391583,0.20599317598258,198
"56",20.4817708333333,3.02243327955538,0.19967301593871,207
"57",19.2404513888889,3.05573746689365,0.210685399832002,208
"58",17.9991319444444,3.07611762607619,0.219157745919768,213
"59",16.7578125,3.06461796891294,0.204400578112196,220
"60",15.5164930555556,3.0964603246784,0.193746010300715,222
"61",14.2751736111111,3.09776223373439,0.209282507516143,231
"62",13.0338541666667,3.11044243054512,0.203434738153575,234
"63",11.7925347222222,3.10558233191834,0.19030261441574,236
"64",10.5512152777778,3.09651132858673,0.197264753438765,235
"65",9.30989583333333,3.06296606697852,0.191538718970257,239
"66",8.06857638888889,3.0612137477407,0.178144526100025,226
"67",6.82725694444444,3.04560398374285,0.231649148633361,240
"68",5.5859375,3.09463689592149,0.206633280561997,240
"69",4.34461805555556,3.18030356990382,0.15939042901137,237
"70",3.10329861111111,3.24002512905397,0.183175190861051,236
"71",1.86197916666667,3.31152287461191,0.197387790683778,233
"72",0.620659722222229,3.34279223172209,0.244913465734081,232
"73",-0.620659722222214,3.33868549855183,0.258645123933304,231
"74",-1.86197916666667,3.30195140884896,0.260754195341321,229
"75",-3.10329861111111,3.21397040739409,0.27689783882501,231
"76",-4.34461805555556,3.16005156965144,0.235410457107861,229
"77",-5.5859375,3.10095716267981,0.20396650732255,227
"78",-6.82725694444444,3.04718155004321,0.210086911727732,227
"79",-8.06857638888889,3.01092258559658,0.212108542777228,233
"80",-9.30989583333333,2.98419176020017,0.202442884941677,238
"81",-10.5512152777778,2.96374297552273,0.203827881167983,238
"82",-11.7925347222222,2.93925225322877,0.216274697790303,238
"83",-13.0338541666667,2.91879644094361,0.250368560837446,237
"84",-14.2751736111111,2.86157734931139,0.25873726279794,235
"85",-15.5164930555556,2.8081765532338,0.290731711286606,231
"86",-16.7578125,2.75994060556284,0.345501286036599,229
"87",-17.9991319444444,2.69450542661879,0.370211310889141,224
"88",-19.2404513888889,2.64363910284863,0.408907912535605,223
"89",-20.4817708333333,2.5731905140871,0.411573811744405,223
"90",-21.7230902777778,2.54129012488236,0.432497662453429,218
"91",-22.9644097222222,2.51712817615933,0.437511542703661,224
"92",-24.2057291666667,2.51819285613099,0.443276701215042,225
"93",-25.4470486111111,2.53888878418432,0.447836152617988,226
"94",-26.6883680555556,2.56977224913471,0.440841187392325,227
"95",-27.9296875,2.60460134014284,0.416950998989025,229
"96",-29.1710069444444,2.62156537743456,0.387497668257045,231
"97",-30.4123263888889,2.6398147259724,0.351446966411758,233
"98",-31.6536458333333,2.64429604247951,0.308828407116949,243
"99",-32.8949652777778,2.63013906562198,0.300022645425954,258
"100",-34.1362847222222,2.63615871333764,0.339120490336829,262
"101",-35.3776041666667,2.664754307403,0.399542340505991,269
"102",-36.6189236111111,2.69114693401141,0.449670917982337,270
"103",-37.8602430555556,2.71993515436973,0.459803797136632,277
"104",-39.1015625,2.76636284938475,0.471931765351897,280
"105",-40.3428819444444,2.81949524695641,0.529323641975197,280
"106",-41.5842013888889,2.81283172835883,0.540070742517978,282
"107",-42.8255208333333,2.75497030060422,0.486242568974149,282
"108",-44.0668402777778,2.67509839030482,0.433060381530333,283
"109",-45.3081597222222,2.57011346030283,0.370840733190361,284
"110",-46.5494791666667,2.45104879137177,0.325723683055493,283
"111",-47.7907986111111,2.30737665595647,0.306058033541616,283
"112",-49.0321180555555,2.18708356349441,0.298612860356169,284
"113",-50.2734375,2.05217906364306,0.289646071382524,284
"114",-51.5147569444444,1.92280656433788,0.284507945231776,284
"115",-52.7560763888889,1.79310097013201,0.285648747355287,288
"116",-53.9973958333333,1.66315354619707,0.286301471072619,288
"117",-55.2387152777778,1.55787078413383,0.275649789772472,288
"118",-56.4800347222222,1.48001623826473,0.263780274975585,288
"119",-57.7213541666667,1.41760570494166,0.26718360218654,288
"120",-58.9626736111111,1.3599797607099,0.283176828747163,288
"121",-60.2039930555555,1.29392725660267,0.295388078677709,288
"122",-61.4453125,1.20717309223491,0.316116821464447,288
"123",-62.6866319444444,1.11237583799547,0.341699517622629,288
"124",-63.9279513888889,1.0043950543412,0.371319639496782,288
"125",-65.1692708333333,0.910029205275171,0.374900110636662,288
"126",-66.4105902777778,0.8036311496923,0.378855933122987,288
"127",-67.6519097222222,0.851910896121859,0.297920389047575,216
"128",-68.8932291666667,0.805533575319482,0.287264280528467,193
"129",-70.1345486111111,0.806876735039463,0.31783048704052,179
"130",-71.3758680555555,0.751812069154451,0.222191352952354,137
"131",-72.6171875,0.625065528115799,0.239553008796105,129
"132",-73.8585069444444,0.60467880705565,0.297578204140693,113
"133",-75.0998263888889,0.508397374656246,0.188039452015961,85
"134",-76.3411458333333,0.451085358574274,0.214665602777163,80
"135",-77.5824652777778,0.400406407866247,0.234426341606546,58
"136",-78.8237847222222,0.0241951219963322,0.0259987364024337,22
"137",-80.0651041666667,0.0257268364046865,0.0316406932006,18
"138",-81.3064236111111,NA,NA,0
"139",-82.5477430555555,NA,NA,0
"140",-83.7890625,NA,NA,0
"141",-85.0303819444444,NA,NA,0
"142",-86.2717013888889,NA,NA,0
"143",-87.5130208333333,NA,NA,0
"144",-88.7543402777778,NA,NA,0
